"GEO_ID","NAME","B05003D_001E","B05003D_001M","B05003D_002E","B05003D_002M","B05003D_003E","B05003D_003M","B05003D_004E","B05003D_004M","B05003D_005E","B05003D_005M","B05003D_006E","B05003D_006M","B05003D_007E","B05003D_007M","B05003D_008E","B05003D_008M","B05003D_009E","B05003D_009M","B05003D_010E","B05003D_010M","B05003D_011E","B05003D_011M","B05003D_012E","B05003D_012M","B05003D_013E","B05003D_013M","B05003D_014E","B05003D_014M","B05003D_015E","B05003D_015M","B05003D_016E","B05003D_016M","B05003D_017E","B05003D_017M","B05003D_018E","B05003D_018M","B05003D_019E","B05003D_019M","B05003D_020E","B05003D_020M","B05003D_021E","B05003D_021M","B05003D_022E","B05003D_022M","B05003D_023E","B05003D_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37075","Graham County, North Carolina","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"0500000US37117","Martin County, North Carolina","142","6","94","22","55","23","30","12","25","18","0","23","25","18","39","14","0","23","39","14","12","19","27","7","48","21","11","17","0","23","11","17","0","23","11","17","37","14","0","23","37","14","5","9","32","9"
"0500000US37115","Madison County, North Carolina","119","15","64","19","17","10","17","10","0","23","0","23","0","23","47","15","28","20","19","22","9","17","10","17","55","12","16","11","13","12","3","5","3","5","0","23","39","17","4","7","35","16","14","11","21","22"
"0500000US37137","Pamlico County, North Carolina","75","17","36","22","0","19","0","19","0","19","0","19","0","19","36","22","19","20","17","20","8","11","9","18","39","25","0","19","0","19","0","19","0","19","0","19","39","25","5","9","34","23","15","12","19","26"
"0500000US37143","Perquimans County, North Carolina","39","59","19","28","0","19","0","19","0","19","0","19","0","19","19","28","0","19","19","28","19","28","0","19","20","30","0","19","0","19","0","19","0","19","0","19","20","30","0","19","20","30","20","30","0","19"
"0500000US37149","Polk County, North Carolina","77","53","37","28","0","23","0","23","0","23","0","23","0","23","37","28","0","23","37","28","6","10","31","32","40","27","16","17","0","23","16","17","0","23","16","17","24","16","0","23","24","16","5","13","19","16"
"0500000US37151","Randolph County, North Carolina","1663","160","834","92","306","73","260","74","46","42","16","24","30","37","528","53","158","61","370","73","306","64","64","46","829","127","231","75","182","95","49","62","0","29","49","62","598","86","139","65","459","73","278","65","181","65"
"0500000US37157","Rockingham County, North Carolina","583","107","171","52","12","18","12","18","0","29","0","29","0","29","159","46","57","60","102","42","81","47","21","33","412","103","114","60","108","61","6","13","0","29","6","13","298","51","13","17","285","57","159","86","126","91"
"0500000US37169","Stokes County, North Carolina","173","42","73","28","39","17","39","17","0","26","0","26","0","26","34","17","29","20","5","10","5","10","0","26","100","27","58","32","58","32","0","26","0","26","0","26","42","22","0","26","42","22","42","22","0","26"
"0500000US37187","Washington County, North Carolina","21","36","12","21","0","19","0","19","0","19","0","19","0","19","12","21","0","19","12","21","12","21","0","19","9","16","0","19","0","19","0","19","0","19","0","19","9","16","0","19","9","16","9","16","0","19"
"0500000US37029","Camden County, North Carolina","186","87","106","65","23","36","23","36","0","19","0","19","0","19","83","56","7","13","76","54","72","52","4","13","80","34","0","19","0","19","0","19","0","19","0","19","80","34","0","19","80","34","53","41","27","37"
"0500000US37043","Clay County, North Carolina","20","37","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","20","37","2","4","0","19","2","4","2","4","0","19","18","37","0","19","18","37","0","19","18","37"
"0500000US37051","Cumberland County, North Carolina","8350","443","3247","285","578","134","468","133","110","51","24","26","86","47","2669","223","699","192","1970","234","1280","238","690","157","5103","263","818","148","503","130","315","116","27","29","288","111","4285","174","751","162","3534","177","2438","221","1096","195"
"0500000US37071","Gaston County, North Carolina","3358","181","1420","111","304","83","255","88","49","54","26","40","23","32","1116","63","165","76","951","93","684","123","267","97","1938","102","514","76","348","90","166","92","65","67","101","85","1424","59","210","77","1214","99","733","132","481","125"
"0500000US37081","Guilford County, North Carolina","25680","485","12517","240","3405","186","2610","224","795","194","336","154","459","157","9112","140","1299","283","7813","308","3744","335","4069","448","13163","316","3373","235","2137","226","1236","227","617","171","619","193","9790","156","1645","250","8145","286","3646","331","4499","380"
