cvap.all_races(count),CountyName,cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%)
14402,AVERY,744,12900,5.165949173725871,89.57089293153729,0.19427557481734226
70327,BURKE,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453
18072,CASWELL,6178,11345,34.18548030101815,62.77667109340416,0.24378198778634974
31801,DAVIE,1897,28512,5.965221219458508,89.6575579384296,0.4289791386450702
39263,DUPLIN,11237,25046,28.61982018694445,63.79033695845962,0.5296376818534445
213778,DURHAM,85724,107439,40.09954251606807,50.25727623983759,2.883755300187598
41586,LEE,8655,28283,20.812292598470638,68.01086904246621,0.5609737574193858
176835,NEW HANOVER,23260,143676,13.153504679503492,81.24862159640342,2.385413225442627
87849,WAYNE,28672,53400,32.637821716809526,60.78612164054229,1.1850378400311554
26700,SCOTLAND,10244,12615,38.36704119850187,47.247191011235955,0.36016927146389655
40163,HALIFAX,21098,16426,52.530936434031325,40.898339267485,0.5417782190938006
115973,ALAMANCE,23370,84558,20.151242099454183,72.91179843584283,1.5644161393064597
48576,HAYWOOD,498,46323,1.025197628458498,95.3619071146245,0.6552652633194845
8638,ALLEGHANY,192,8104,2.2227367446168094,93.8180134290345,0.11652217853577297
74468,CLEVELAND,14872,57039,19.97099425256486,76.59531610893269,1.004535030238706
45207,GRANVILLE,14691,27815,32.49717964032119,61.52808193421373,0.609819185583085
36475,HOKE,13412,16039,36.77039067854695,43.972583961617545,0.492028995379986
125492,IREDELL,15151,103122,12.073279571606157,82.17416249641411,1.6928225548519589
133905,PITT,45435,80498,33.930771815839584,60.11575370598559,1.806309599077643
22595,CHEROKEE,282,21065,1.248063730913919,93.22859039610533,0.3047949321620503
52320,WILKES,2204,48518,4.212538226299694,92.73318042813456,0.7057698982393658
28629,ALEXANDER,1760,25940,6.1476125606902094,90.60742603653638,0.3861904896157264
55387,CARTERET,3221,49642,5.815444057269756,89.62752992579486,0.7471421512573347
30047,PASQUOTANK,11278,17357,37.53452923752787,57.76616633940161,0.4053185805121985
10868,SWAIN,40,7358,0.368052999631947,67.70334928229666,0.14660373192021078
19935,ANSON,9655,9348,48.432405317281166,46.89240030097818,0.2689128998738868
48112,FRANKLIN,12880,32786,26.77086797472564,68.14516129032258,0.6490061418977899
26906,MACON,370,25490,1.3751579573329369,94.73723333085557,0.3629481055433558
27373,TRANSYLVANIA,1165,25613,4.256018704562891,93.57030650641143,0.36924769542251834
43010,COLUMBUS,13261,26953,30.832364566379912,62.66682166937922,0.5801827852307936
19440,MONTGOMERY,3883,14347,19.974279835390945,73.80144032921811,0.26223560439169097
33586,RICHMOND,10705,20919,31.87339963079855,62.284880605013996,0.453057870838443
54351,SURRY,2063,49243,3.795698331217457,90.60182885319497,0.7331670439451027
198618,BUNCOMBE,12052,175761,6.067929392099407,88.49197957889012,2.6792546951167115
140011,CABARRUS,24736,104393,17.667183292741285,74.56057024090964,1.8886763995105476
122830,DAVIDSON,11529,105834,9.386143450297158,86.16298949767972,1.6569135435921503
18989,HERTFORD,11346,6811,59.75038179998947,35.868134182948026,0.2561518462856903
44201,PENDER,7009,34911,15.857107305264586,78.9823759643447,0.5962487628455315
46205,WATAUGA,804,43474,1.7400714208419001,94.0893842657721,0.6232816924340576
3507,TYRRELL,1379,2013,39.321357285429144,57.39948674080411,0.04730762677992079
