CountyName,registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),date,NativeHawaiian,cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registrants(party),most_registered(%)
EDGECOMBE,23241,5890,78,6,14,5428,12167,20839,72,1579,428,14665,19244,748,34657,2020-03-14,,40298,23365,15945,57.98054494019554,39.567720482406074,0.543599299679854,506.72197265625,79.52684543904188,57.67283736165567,14.6161099806442,0.19355799295250384,0.014889076380961834,0.03474117822224428,13.46965109931014,86.00178668916571,89.18895784292745,51.712243783810614,60.12926681478489,76.3060520539354,30.19256538786044,35.10690480999509,democrats,57.67283736165567
FORSYTH,101918,73321,1393,87,111,80500,159239,68501,510,29080,10385,109139,134673,13518,257330,2020-03-14,,265476,71907,172547,27.08606427699679,64.99532914463077,3.5811347382452956,412.05966796875,644.265917381978,38.39066431617171,27.618692461842127,0.5247178652684235,0.03277132396148805,0.041811689192243366,30.32289171149181,96.9315493679278,95.26332624083886,25.803085777998763,26.619904402906773,92.28731881748162,59.98244662417695,61.881241984999804,democrats,38.39066431617171
FRANKLIN,16649,13668,237,16,29,13334,28472,10924,129,4408,1096,19237,21989,2707,43933,2020-03-14,,48112,12880,32786,26.77086797472564,68.14516129032258,0.6490061418977899,494.820751953125,97.2311686809726,34.60467243099435,28.408713002993018,0.49260059860325905,0.03325573661456601,0.0602760226139009,27.71449950116395,91.31401729298304,84.8136645962733,22.705354173594944,24.86513554731068,86.84194473250778,59.17858330562022,64.80777547629344,democrats,34.60467243099435
GASTON,41114,53895,829,35,86,44247,102893,23779,320,13214,3874,61128,72864,6214,140206,2020-03-14,,160890,25578,126462,15.897818385232146,78.6015289949655,2.1703233740009855,363.5851318359375,442.50984408405145,25.554105289328113,33.49804214059295,0.5152588725215986,0.021753993411647708,0.05345266952576294,27.501398471005036,87.14401143638511,92.96661193212917,14.779663123873453,16.96004450594126,81.36278091442489,63.95238983156194,73.3870162475215,republicans,33.49804214059295
GATES,3833,1756,29,0,2,2280,4898,2575,16,411,41,3538,4028,334,7900,2020-03-14,,9142,3145,5795,34.40166265587399,63.388755195799604,0.12332087939037237,345.696435546875,26.44516708868519,41.927368190767886,19.208050754758258,0.3172172391161671,0.0,0.021877050973528767,24.939838109822794,86.41435134543863,81.87599364069952,28.166703128418288,32.59493670886076,84.5211389128559,53.57689783417195,62.0,democrats,41.927368190767886
GRAHAM,1498,2688,26,0,2,1596,5402,4,268,136,19,2764,2976,70,5810,2020-03-14,,6748,13,6049,0.19264967397747482,89.64137522228809,0.09102705033102523,301.4247802734375,22.38701142579768,22.199170124481327,39.83402489626556,0.38529934795494963,0.0,0.02963841138114997,23.651452282157678,86.09958506224066,30.76923076923077,0.05927682276229994,0.06884681583476764,89.30401719292445,80.05334914048608,92.9776247848537,republicans,39.83402489626556
GRANVILLE,17365,9444,154,8,16,10746,22688,11906,77,3062,791,16173,19108,2452,37733,2020-03-14,,45207,14691,27815,32.49717964032119,61.52808193421373,0.609819185583085,536.306884765625,84.29315618380735,38.41219280199969,20.89057004446214,0.34065520826420687,0.017696374455283475,0.03539274891056695,23.770654987059526,83.46716216515142,81.04281532911307,26.33662928307563,31.553282272811597,81.5674995506022,50.18691795518393,60.12773964434315,democrats,38.41219280199969
GREENE,5667,2233,21,5,4,3103,6179,4030,10,814,421,4893,5901,239,11033,2020-03-14,,15373,6093,8262,39.63442399011254,53.743576400182135,0.20737386555110418,266.3340576171875,57.72074415693476,36.863331815520716,14.525466727379172,0.13660313536720223,0.032524556039810054,0.026019644831848047,20.18473947830612,71.76868535744487,66.14147382241917,26.214792168086905,36.52678328650413,74.78818687969014,40.193846353997266,56.00471313332729,democrats,36.863331815520716
GUILFORD,160445,90508,2050,123,146,111275,196082,124964,977,42524,10736,156113,196091,12343,364547,2020-03-14,,377164,129996,217532,34.4667041393134,57.67570605890276,5.087748430801838,657.76396484375,573.4032573365345,42.53985003870995,23.996988047639753,0.5435301354318015,0.032611808125908096,0.038709951108801474,29.503080887889617,96.65477086890583,96.1291116649743,33.1325365093169,34.27925617272944,90.13938179210415,51.9885248857261,53.78785177219947,democrats,42.53985003870995
HALIFAX,22981,4563,97,8,5,8838,14214,19433,1069,1776,255,15837,19757,898,36492,2020-03-14,,40163,21098,16426,52.530936434031325,40.898339267485,0.5417782190938006,731.264111328125,54.92270081059467,57.21933122525708,11.361203097378183,0.24151582302118865,0.019918830764634115,0.012449269227896322,22.00532828722954,90.85974653287852,92.10825670679685,48.38532978114185,53.25276772991341,86.53354438085961,35.390782561063666,38.95100295955278,democrats,57.21933122525708
HARNETT,24681,26792,541,22,46,23469,48664,16493,452,9942,3623,32577,38925,4049,75551,2020-03-14,,91068,20022,61667,21.985768876004744,67.71533359687267,1.2284604948941622,601.185986328125,151.4805768448093,27.101726182632756,29.419774234637853,0.594061580357535,0.02415777221416963,0.05051170553871832,25.77085254974305,82.96108402512408,82.37438817300969,18.110642596740895,21.830286826117458,78.91416803152416,53.436992137743225,64.41211896599648,republicans,29.419774234637853
HAYWOOD,14461,14079,276,11,19,14591,40989,458,101,1889,391,19849,22777,811,43437,2020-03-14,,48576,498,46323,1.025197628458498,95.3619071146245,0.6552652633194845,554.476708984375,87.60692597706364,29.769845191040844,28.98344861660079,0.5681818181818182,0.022644927536231884,0.03911396574440053,30.037467061923582,89.42070158102767,91.96787148594377,0.9428524374176548,1.0544006261942585,88.48520173563888,84.38117588932806,94.36425167483942,unaffiliated,30.037467061923582
HENDERSON,17043,30690,485,29,31,34316,73681,2367,144,6402,2010,36457,43302,2835,82594,2020-03-14,,87030,2780,78722,3.19430081581064,90.45386648282202,1.1739899511424312,375.0859130859375,232.0268422878899,19.58290244743192,35.263702171664946,0.5572790991612088,0.03332184304262898,0.03561990118349994,39.430081581064,94.9029070435482,85.14388489208633,2.719751809720786,2.8658256047654795,93.59645334214069,84.66161093875675,89.20865922464101,unaffiliated,39.430081581064
HERTFORD,10192,1407,33,4,7,2921,4660,9169,90,645,101,6160,8113,291,14564,2020-03-14,,18989,11346,6811,59.75038179998947,35.868134182948026,0.2561518462856903,361.4178466796875,52.54029421748316,53.67317920901574,7.409552899046816,0.17378482279214283,0.02106482700510822,0.036863447258939384,15.382589920480278,76.69703512559903,80.81262118808391,48.285849702459316,62.956605328206535,68.41873440023491,24.54052346095108,31.99670420214227,democrats,53.67317920901574
HOKE,13767,6489,225,9,26,9917,12693,12043,1947,3750,1989,13368,16446,619,30433,2020-03-14,,36475,13412,16039,36.77039067854695,43.972583961617545,0.492028995379986,392.3287353515625,92.97050333903036,37.74366004112406,17.79026730637423,0.6168608636052091,0.02467443454420836,0.07128169979437972,27.188485263879368,83.43522960932145,89.79272293468536,33.017135023989034,39.57217494167516,79.13835027121391,34.79917751884852,41.70801432655341,democrats,37.74366004112406
HYDE,1563,530,16,1,0,933,2269,641,1,132,35,1386,1570,87,3043,2020-03-14,,4052,1386,2499,34.20533070088845,61.67324777887463,0.054659396553247516,1378.1888671875,2.9400905031753775,38.57354392892399,13.079960513326752,0.39486673247778875,0.024679170779861797,0.0,23.025666337611057,75.09871668311945,46.24819624819625,15.81934846989141,21.064738744659874,90.79631852741096,55.99703849950642,74.5645744331252,democrats,38.57354392892399
IREDELL,28187,50284,641,34,43,42094,97341,13574,212,10156,3213,55137,61783,4363,121283,2020-03-14,,125492,15151,103122,12.073279571606157,82.17416249641411,1.6928225548519589,593.16591796875,211.56306557486894,22.461192745354285,40.06948650113154,0.5107895324004718,0.02709336053294234,0.034265132438721195,33.54317406687279,96.64600133873076,89.5914461091677,10.816625761004685,11.192005474798611,94.39401873509047,77.56749434226883,80.25939331975627,republicans,40.06948650113154
JACKSON,9489,7672,198,9,6,10665,23591,665,1380,2403,585,12368,14315,1356,28039,2020-03-14,,34210,856,29295,2.502192341420637,85.63285589009061,0.46147530999175657,494.860205078125,69.13063456900757,27.73750365390237,22.42619117217188,0.5787781350482315,0.026308097047646885,0.017538731365097926,31.17509500146156,81.96141479099678,77.68691588785046,1.9438760596316866,2.3716965654980564,80.52910052910053,68.95936860567086,84.13638146866865,unaffiliated,31.17509500146156
JOHNSTON,38028,50586,841,31,97,42461,95864,21359,371,14450,5648,59242,68545,4257,132044,2020-03-14,,131255,21604,100022,16.459563445202086,76.2043350729496,1.7705624616477056,795.70380859375,164.95459564529094,28.97261056721649,38.540246085863394,0.6407374957144489,0.023618147880080757,0.07390194659251076,32.35000571406803,100.60111995733496,98.86595074986114,16.272903889375645,16.175668716488442,95.84291455879706,73.03645575406651,72.60004241010573,republicans,38.540246085863394
