registered.democrats(count),registered.republicans(count),registered.libertarians(count),registered.green(count),registered.constitution(count),registered.unaffiliated(count),registered.white(count),registered.black(count),registered.american_indian(count),registered.other(count),registered.hispanic(count),registered.male(count),registered.female(count),registered.undisclosed_gender(count),registered.total(count),cvap.all_races(count),cvap.black_aa(count),cvap.white(count),pct_cvap.black_aa(%),pct_cvap.white(%),pct_cvap.all_races.within_state(%),land.area(square_miles),cvap.density(count/squaremiles),registered_within_county_cvap.democrats(%),registered_within_county_cvap.republicans(%),registered_within_county_cvap.libertarians(%),registered_within_county_cvap.green(%),registered_within_county_cvap.constitution(%),registered_within_county_cvap.unaffiliated(%),registered_within_county_cvap.total(%),pct_registered.within_race_cvap.black_aa(%),pct_registered.among_all_races_cvap.black_aa(%),pct_registered.among_registered.black_aa(%),pct_registered.within_race_cvap.white(%),pct_registered.among_all_races_cvap.white(%),pct_registered.among_registered.white(%),most_registered(%),CountyName,most_new_registrants(party),most_new_registered(%)
-154.0,412.0,8.0,10.0,7.0,347.0,209.0,11.0,-1.0,411.0,12.0,174.0,51.0,405.0,630.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.21897706428541142,0.5858347434129136,0.011375431910930378,0.014219289888662959,0.009953502922064067,0.49340935913660644,0.8958152629857636,0.2257799671592693,0.015641218877529006,-0.046260637008331607,0.3442369140560686,0.29718315867306444,-0.6136093623039898,0.5858347434129136,BURKE,republicans,0.5858347434129136
-152.0,417.0,7.0,10.0,7.0,350.0,212.0,11.0,-1.0,417.0,13.0,175.0,54.0,410.0,639.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.21613320630767774,0.5929443883572425,0.00995350292206404,0.014219289888662959,0.009953502922064067,0.4976751461032052,0.9086126238855599,0.2257799671592693,0.015641218877529006,-0.04719821628145482,0.3491781137793595,0.3014489456396632,-0.6222480013847758,0.5929443883572425,BURKE,republicans,0.5929443883572425
-149.0,440.0,10.0,10.0,7.0,368.0,234.0,12.0,-1.0,441.0,14.0,193.0,62.0,431.0,686.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.211867419341079,0.6256487551011674,0.014219289888662945,0.014219289888662959,0.009953502922064067,0.5232698679027976,0.9754432863622782,0.24630541871920286,0.017063147866395845,-0.05028151494632649,0.38541357841684487,0.33273138339471586,-0.6558646069758396,0.6256487551011674,BURKE,republicans,0.6256487551011674
-165.0,435.0,10.0,10.0,7.0,377.0,205.0,6.0,-1.0,464.0,12.0,175.0,42.0,457.0,674.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.2346182831629413,0.6185391101568385,0.014219289888662945,0.014219289888662959,0.009953502922064067,0.5360672288025938,0.9583801384958832,0.12315270935960143,0.008531573933197478,-0.05988337503845287,0.3376486477583427,0.29149544271759,-0.689572473099517,0.6185391101568385,BURKE,republicans,0.6185391101568385
-168.0,471.0,13.0,10.0,8.0,430.0,214.0,9.0,-1.0,542.0,12.0,182.0,36.0,546.0,764.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.23888407012954005,0.6697285537560234,0.01848507685526185,0.014219289888662959,0.011375431910930364,0.6114294652125061,1.0863537474938454,0.18472906403940215,0.012797360899796217,-0.06379953715449727,0.35247224692822954,0.3042928036173862,-0.8135548237032992,0.6697285537560234,BURKE,republicans,0.6697285537560234
-166.0,500.0,12.0,10.0,10.0,453.0,220.0,9.0,0.0,590.0,14.0,183.0,34.0,602.0,819.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.23604021215180637,0.7109644944331457,0.017063147866395567,0.014219289888662959,0.014219289888662959,0.6441338319564309,1.1645598418814984,0.18472906403940215,0.012797360899796217,-0.06949318775022739,0.3623546463748113,0.3128243775505837,-0.8882218353294178,0.7109644944331457,BURKE,republicans,0.7109644944331457
-171.0,539.0,13.0,9.0,10.0,456.0,210.0,10.0,0.0,636.0,14.0,180.0,22.0,654.0,856.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.2431498570961388,0.7664197249989328,0.01848507685526185,0.012797360899796661,0.014219289888662959,0.6483996189230297,1.2171712144695448,0.20525451559933572,0.014219289888663056,-0.07151465888159692,0.34588398063050363,0.29860508766192595,-0.9636689377342265,0.7664197249989328,BURKE,republicans,0.7664197249989328
-172.0,577.0,13.0,9.0,11.0,481.0,229.0,10.0,0.0,680.0,13.0,188.0,29.0,702.0,919.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.24457178608500385,0.8204530265758514,0.01848507685526185,0.012797360899796661,0.015641218877529256,0.6839478436446882,1.3067527407681183,0.20525451559933572,0.014219289888663056,-0.07801598398496346,0.37717824554468393,0.3256217384503799,-1.027038327709505,0.8204530265758514,BURKE,republicans,0.8204530265758514
-191.0,617.0,13.0,9.0,11.0,515.0,222.0,14.0,0.0,738.0,15.0,187.0,23.0,764.0,974.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.2715884368734649,0.8773301861305036,0.01848507685526185,0.012797360899796661,0.015641218877529256,0.7322934292661429,1.3849588351557713,0.28735632183907,0.019907005844127745,-0.07648519448540192,0.36564877952366714,0.3156682355283209,-1.1246681261351057,0.8773301861305036,BURKE,republicans,0.8773301861305036
-184.0,684.0,13.0,9.0,11.0,550.0,263.0,15.0,0.0,805.0,15.0,211.0,43.0,829.0,1083.0,70327,4872,60714,6.927638033756594,86.3309966300283,0.9486750694472453,0.0,137.05799440994804,-0.2616349339513988,0.9725994283845445,0.01848507685526185,0.012797360899796661,0.015641218877529256,0.7820609438764627,1.5399490949422017,0.3078817733990036,0.021328934832994584,-0.08589557186967678,0.43317850907534705,0.37396732407184174,-1.2190806306647772,0.9725994283845445,BURKE,republicans,0.9725994283845445
