Democrats,Republicans,Libertarians,Green,Constitution,Unaffiliated,White,Black,AmericanIndian,Other,Hispanic,Male,Female,UnDisclosedGender,Total,cvap_all_races,Democrats_pct,Republicans_pct,Libertarians_pct,Green_pct,Constitution_pct,Unaffiliated_pct,Total_pct,CountyName
-33.0,38.0,-1.0,0.0,0.0,34.0,6.0,3.0,1.0,28.0,-1.0,7.0,0.0,31.0,38.0,8638,-0.3820328779810147,0.43991664737207614,-0.011576753878212498,0.0,0.0,0.3936096318592277,0.4399166473720868,ALLEGHANY
-34.0,41.0,-1.0,0.0,0.0,36.0,6.0,3.0,1.0,32.0,-1.0,8.0,0.0,34.0,42.0,8638,-0.3936096318592277,0.47464690900671513,-0.011576753878212498,0.0,0.0,0.4167631396156537,0.4862236628849246,ALLEGHANY
-34.0,38.0,-2.0,0.0,0.0,38.0,4.0,3.0,1.0,32.0,-1.0,8.0,-2.0,34.0,40.0,8638,-0.3936096318592277,0.43991664737207614,-0.02315350775642505,0.0,0.0,0.43991664737207614,0.4630701551285057,ALLEGHANY
-33.0,40.0,-2.0,0.0,0.0,38.0,5.0,3.0,1.0,34.0,-1.0,9.0,-2.0,36.0,43.0,8638,-0.3820328779810147,0.46307015512850214,-0.02315350775642505,0.0,0.0,0.43991664737207614,0.49780041676314113,ALLEGHANY
-34.0,44.0,-2.0,0.0,0.0,39.0,7.0,3.0,1.0,36.0,0.0,11.0,-1.0,37.0,47.0,8638,-0.3936096318592277,0.5093771706413506,-0.02315350775642505,0.0,0.0,0.45149340125028914,0.5441074322759931,ALLEGHANY
-36.0,49.0,-2.0,0.0,0.0,46.0,12.0,2.0,1.0,42.0,1.0,13.0,1.0,43.0,57.0,8638,-0.4167631396156537,0.5672609400324156,-0.02315350775642505,0.0,0.0,0.5325306783977766,0.659874971058116,ALLEGHANY
-43.0,55.0,-2.0,0.0,0.0,49.0,10.0,2.0,1.0,46.0,2.0,11.0,3.0,45.0,59.0,8638,-0.49780041676314113,0.63672146330169,-0.02315350775642505,0.0,0.0,0.5672609400324156,0.6830284788145491,ALLEGHANY
-43.0,54.0,-2.0,0.0,0.0,51.0,9.0,2.0,1.0,48.0,2.0,11.0,2.0,47.0,60.0,8638,-0.49780041676314113,0.625144709423477,-0.02315350775642505,0.0,0.0,0.5904144477888416,0.6946052326927514,ALLEGHANY
-44.0,54.0,-2.0,0.0,0.0,55.0,11.0,2.0,1.0,49.0,2.0,10.0,5.0,48.0,63.0,8638,-0.5093771706413541,0.625144709423477,-0.02315350775642505,0.0,0.0,0.63672146330169,0.7293354943274011,ALLEGHANY
-45.0,53.0,-2.0,0.0,0.0,51.0,5.0,2.0,1.0,49.0,2.0,8.0,1.0,48.0,57.0,8638,-0.5209539245195671,0.613567955545264,-0.02315350775642505,0.0,0.0,0.5904144477888416,0.659874971058116,ALLEGHANY
-50.0,52.0,-2.0,1.0,1.0,59.0,2.0,2.0,1.0,56.0,2.0,4.0,2.0,55.0,61.0,8638,-0.5788376939106286,0.601991201667051,-0.02315350775642505,0.011576753878212546,0.01157675387821255,0.683028478814542,0.706181986570968,ALLEGHANY
-53.0,61.0,-2.0,2.0,1.0,64.0,3.0,2.0,1.0,67.0,2.0,5.0,1.0,67.0,73.0,8638,-0.6135679555452676,0.7061819865709644,-0.02315350775642505,0.0231535077564251,0.01157675387821255,0.7409122482056034,0.845103033109524,ALLEGHANY
-56.0,65.0,-3.0,2.0,1.0,67.0,2.0,2.0,1.0,71.0,4.0,2.0,1.0,73.0,76.0,8638,-0.648298217179903,0.7524890020838129,-0.034730261634637605,0.0231535077564251,0.01157675387821255,0.7756425098402424,0.8798332947441594,ALLEGHANY
-62.0,72.0,-3.0,2.0,1.0,71.0,6.0,2.0,1.0,72.0,4.0,1.0,5.0,75.0,81.0,8638,-0.7177587404491774,0.8335262792313038,-0.034730261634637605,0.0231535077564251,0.01157675387821255,0.8219495253530908,0.9377170641352137,ALLEGHANY
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANSON
3.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,0.0,7.0,0.0,-1.0,-3.0,7.0,3.0,19935,0.015048908954099716,0.005016302984699905,0.0,0.0,0.0,-0.005016302984699905,0.015048908954099716,ANSON
3.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-3.0,0.0,7.0,0.0,-1.0,-4.0,7.0,2.0,19935,0.015048908954099716,0.005016302984699905,0.0,0.0,0.0,-0.01003260596939981,0.01003260596939981,ANSON
