"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"0500000US37071","Gaston County, North Carolina","216585","*****","104371","67","25112","67","24545","233","567","215","168","104","399","195","79259","*****","73769","316","5490","317","2285","274","3205","367","112214","67","24357","68","23867","141","490","148","165","95","325","133","87857","*****","82405","303","5452","302","2431","295","3021","321"
"0500000US37081","Guilford County, North Carolina","523582","*****","248019","90","59782","71","57405","371","2377","377","670","194","1707","304","188237","55","162755","1018","25482","1020","9989","642","15493","981","275563","90","58048","70","55443","331","2605","326","915","198","1690","316","217515","37","194035","897","23480","895","10385","590","13095","706"
"0500000US37099","Jackson County, North Carolina","42256","*****","20838","181","3872","177","3841","181","31","31","0","26","31","31","16966","102","16242","133","724","150","122","81","602","147","21418","181","3291","167","3268","168","23","40","0","26","23","40","18127","83","17638","154","489","139","208","92","281","110"
"0500000US37125","Moore County, North Carolina","95629","*****","46002","103","10386","90","10177","162","209","122","46","49","163","124","35616","69","33764","218","1852","220","691","175","1161","222","49627","103","9976","89","9826","118","150","98","40","36","110","85","39651","69","37581","259","2070","258","1065","210","1005","211"
"0500000US37155","Robeson County, North Carolina","133442","*****","64365","40","17267","33","17073","98","194","92","19","23","175","84","47098","29","44105","171","2993","174","691","162","2302","181","69077","40","16636","33","16496","84","140","77","40","36","100","63","52441","29","50128","209","2313","209","585","105","1728","189"
"0500000US37167","Stanly County, North Carolina","61114","*****","30445","174","6853","166","6807","173","46","45","27","39","19","23","23592","43","22675","112","917","112","316","91","601","100","30669","174","6424","167","6385","164","39","34","6","14","33","33","24245","44","23398","123","847","119","360","113","487","110"
"0500000US37183","Wake County, North Carolina","1046558","*****","508866","131","129852","70","124096","694","5756","682","1149","243","4607","647","379014","103","314807","1556","64207","1556","26934","1161","37273","1434","537692","131","126002","70","120672","632","5330","639","1605","334","3725","542","411690","103","348526","1388","63164","1372","29582","1083","33582","1324"
"0500000US37199","Yancey County, North Carolina","17667","*****","8648","80","1711","70","1697","70","14","22","0","19","14","22","6937","58","6644","73","293","61","104","68","189","59","9019","80","1585","73","1543","84","42","65","0","19","42","65","7434","58","7233","100","201","68","39","23","162","59"
"0500000US37037","Chatham County, North Carolina","69791","*****","33477","149","7188","118","7075","135","113","57","25","29","88","48","26289","80","23402","251","2887","231","1116","219","1771","233","36314","149","7162","127","7035","134","127","75","47","63","80","56","29152","82","26230","253","2922","244","1123","200","1799","242"
"0500000US37111","McDowell County, North Carolina","45109","*****","22833","195","5217","142","5168","143","49","69","9","15","40","68","17616","125","16833","165","783","146","193","103","590","118","22276","195","4059","140","4005","153","54","67","9","15","45","65","18217","132","17351","172","866","171","327","125","539","130"
"0500000US37101","Johnston County, North Carolina","191172","*****","93865","146","25537","136","25160","209","377","171","60","92","317","135","68328","77","61129","509","7199","496","1905","315","5294","491","97307","146","24169","136","23660","236","509","228","143","115","366","212","73138","77","66543","609","6595","612","1678","311","4917","614"
"0500000US37103","Jones County, North Carolina","9695","*****","4828","67","1051","65","1051","65","0","17","0","17","0","17","3777","39","3633","45","144","62","8","12","136","61","4867","67","792","67","761","65","31","18","0","17","31","18","4075","8","3970","47","105","48","15","14","90","45"
"0500000US37145","Person County, North Carolina","39305","*****","18989","147","4176","105","4156","109","20","30","20","30","0","26","14813","86","14218","126","595","143","147","81","448","127","20316","147","4189","108","4126","111","63","77","0","26","63","77","16127","83","15636","176","491","174","123","75","368","140"
"0500000US37019","Brunswick County, North Carolina","126860","*****","61281","217","10812","197","10746","205","66","60","6","13","60","58","50469","77","47910","298","2559","312","1236","318","1323","286","65579","217","9809","195","9771","184","38","43","24","32","14","24","55770","76","53371","277","2399","263","1245","258","1154","216"
"0500000US37009","Ashe County, North Carolina","26786","*****","13168","114","2531","86","2453","112","78","72","49","68","29","43","10637","67","10151","117","486","101","90","55","396","88","13618","114","2362","89","2349","93","13","22","13","22","0","23","11256","73","10885","111","371","102","149","74","222","74"
"0500000US37013","Beaufort County, North Carolina","47243","*****","22709","135","5149","128","5077","164","72","118","1","3","71","118","17560","56","16980","137","580","135","237","111","343","103","24534","135","4610","124","4608","124","2","3","0","26","2","3","19924","68","19175","163","749","157","223","84","526","135"
"0500000US37107","Lenoir County, North Carolina","57227","*****","27391","200","6654","156","6635","156","19","18","0","29","19","18","20737","137","19370","197","1367","143","231","140","1136","207","29836","200","6263","155","6263","155","0","29","0","29","0","29","23573","124","22486","149","1087","181","430","172","657","137"
"0500000US37161","Rutherford County, North Carolina","66532","*****","32258","273","7223","270","7161","278","62","67","43","54","19","32","25035","100","24322","213","713","183","320","125","393","180","34274","273","6754","277","6633","294","121","105","29","47","92","94","27520","64","26785","207","735","199","479","158","256","129"
